Metric,Scenario,Simulation Number,Timestep Number,Value
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,5,0.2029257143321825
Final good capital productivity,miningSiteExplorationProbability_0.1,0,5,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,5,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,5,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,5,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,5,0.04262389061855004
Material price,miningSiteExplorationProbability_0.1,0,5,0.07406670179224477
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,5,0.03863647194762409
Total ore reserves,miningSiteExplorationProbability_0.1,0,5,14477.757339049711
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,5,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,5,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,5,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,5,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,5,0.9064398223533212
Total NPL balance,miningSiteExplorationProbability_0.1,0,5,2.1711474839767204
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,5,0.047868992533754755
Total consumption budget,miningSiteExplorationProbability_0.1,0,6,5.426627294131555
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,6,0.07808540997011561
Final good output,miningSiteExplorationProbability_0.1,0,6,28.581887806025392
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,6,0.17225752928488425
Final good capital productivity,miningSiteExplorationProbability_0.1,0,6,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,6,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,6,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,6,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,6,0.042051641918512565
Material price,miningSiteExplorationProbability_0.1,0,6,0.06181467575530251
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,6,0.03989412917068235
Total ore reserves,miningSiteExplorationProbability_0.1,0,6,14468.675319722826
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,6,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,6,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,6,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,6,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,6,0.4269926913112081
Total NPL balance,miningSiteExplorationProbability_0.1,0,6,2.5711474839767208
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,6,0.047645587048601286
Total consumption budget,miningSiteExplorationProbability_0.1,0,7,5.3209174772037935
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,7,0.07614505737660443
Final good output,miningSiteExplorationProbability_0.1,0,7,33.670516604286135
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,7,0.06233717518286575
Final good capital productivity,miningSiteExplorationProbability_0.1,0,7,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,7,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,7,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,7,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,7,0.038593186374368135
Material price,miningSiteExplorationProbability_0.1,0,7,0.06501369960586902
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,7,0.04245717556563672
Total ore reserves,miningSiteExplorationProbability_0.1,0,7,14455.705363390452
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,7,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,7,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,7,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,7,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,7,0.7587377523452284
Total NPL balance,miningSiteExplorationProbability_0.1,0,7,3.246286550964469
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,7,0.04907249371917118
Total consumption budget,miningSiteExplorationProbability_0.1,0,8,5.874013399328597
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,8,0.07042343423522303
Final good output,miningSiteExplorationProbability_0.1,0,8,93.0423937720266
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,8,0.053794817318875934
Final good capital productivity,miningSiteExplorationProbability_0.1,0,8,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,8,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,8,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,8,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,8,0.02640309863490026
Material price,miningSiteExplorationProbability_0.1,0,8,0.0715237752381323
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,8,0.04869190789747402
Total ore reserves,miningSiteExplorationProbability_0.1,0,8,14425.003296624993
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,8,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,8,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,8,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,8,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,8,1.6589798916910738
Total NPL balance,miningSiteExplorationProbability_0.1,0,8,3.652526347653586
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,8,0.05490586225522931
Total consumption budget,miningSiteExplorationProbability_0.1,0,9,6.792327626894823
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,9,0.03700045528404106
Final good output,miningSiteExplorationProbability_0.1,0,9,107.81707772367228
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,9,0.054468407672995205
Final good capital productivity,miningSiteExplorationProbability_0.1,0,9,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,9,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,9,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,9,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,9,0.025434537446500757
Material price,miningSiteExplorationProbability_0.1,0,9,0.06939947790197037
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,9,0.0617737004935011
Total ore reserves,miningSiteExplorationProbability_0.1,0,9,14395.077072161135
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,9,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,9,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,9,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,9,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,9,1.914375129079226
Total NPL balance,miningSiteExplorationProbability_0.1,0,9,3.944085283421897
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,9,0.06531229598297472
